18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
18:03:01:458 -> , S1=0.00 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
